,0
1018,0.27249738574
1019,0.832390666008
1020,0.190698355436
1021,1.35825884342
1022,0.638952374458
1023,1.51545357704
1024,0.996043801308
1025,1.70524001122
1026,1.61102294922
1027,0.898281931877
1028,0.532047212124
1029,1.64597225189
1030,1.08979833126
1031,0.689392447472
1032,1.32751822472
1033,1.21905839443
1034,0.702283203602
1035,0.915004134178
1036,1.09847414494
1037,1.31799697876
1038,0.777688384056
1039,0.6589371562
1040,1.28667378426
1041,0.775140583515
1042,0.846127688885
1043,0.744648337364
1044,0.901292204857
1045,0.705925762653
1046,0.890908241272
1047,0.861555874348
1048,0.487750709057
1049,0.638673961163
1050,1.15515220165
1051,1.04624867439
1052,0.986268043518
1053,0.58825814724
1054,0.627618193626
1055,0.71383780241
1056,1.12866139412
1057,0.657452225685
1058,1.04186844826
1059,0.85999250412
1060,0.921034693718
1061,0.749897480011
1062,1.47648978233
1063,0.908360660076
1064,1.22771835327
1065,1.42997896671
1066,0.887625694275
1067,1.31232476234
1068,0.826971411705
1069,2.13769102097
1070,1.07438755035
1071,1.39336943626
1072,1.11680579185
1073,1.28137874603
1074,1.03683459759
1075,1.19149148464
1076,1.71082425117
1077,0.936080753803
1078,1.00033652782
1079,1.53054273129
1080,0.865444302559
1081,1.31554389
1082,1.55126070976
1083,0.581385612488
1084,0.831658065319
1085,0.896095633507
1086,1.2089048624
1087,0.779861748219
1088,0.795201599598
1089,0.97797191143
1090,1.04252970219
1091,1.34248805046
1092,0.580858588219
1093,1.26786673069
1094,0.797911822796
1095,1.30235016346
1096,0.617312788963
1097,1.24700045586
1098,1.02243888378
1099,0.571337819099
1100,1.18824565411
1101,1.04098439217
1102,0.97650372982
1103,1.01549255848
1104,1.00968492031
1105,0.557465612888
1106,1.19160676003
1107,1.07570874691
1108,0.572667181492
1109,1.62395858765
1110,0.938423752785
1111,1.09408259392
1112,0.893078804016
1113,0.770192623138
1114,1.26805627346
1115,1.64060175419
1116,0.7162784338
1117,1.19371199608
1118,1.45647358894
1119,0.780331432819
1120,1.58370471001
1121,1.43147587776
1122,0.91780090332
1123,1.43475461006
1124,1.14228856564
1125,0.818712115288
1126,0.677775681019
1127,0.712884545326
1128,0.422478973866
1129,1.30842876434
1130,0.925718486309
1131,0.403133064508
1132,0.649159312248
1133,0.308987617493
1134,0.764319658279
1135,0.49095210433
1136,0.744113326073
1137,0.596171557903
1138,1.26926004887
1139,0.557404339314
1140,0.79944473505
1141,1.5068782568
1142,0.696498215199
1143,0.245570927858
1144,1.49084043503
1145,1.43797802925
1146,0.954225182533
1147,0.946002960205
1148,0.896259665489
1149,0.702881276608
1150,1.27059483528
1151,1.26615333557
1152,0.795557200909
1153,0.646655678749
1154,0.581126570702
1155,0.899995625019
1156,1.05643236637
1157,1.17754387856
1158,0.930193901062
1159,1.31712830067
1160,2.08762407303
1161,0.227564737201
1162,0.483412653208
1163,0.650416851044
1164,0.6429926157
1165,1.07685148716
1166,1.30744612217
1167,1.18798100948
1168,0.455887705088
1169,0.650442957878
1170,1.58112430573
1171,0.6121327281
1172,0.896996796131
1173,0.464126735926
1174,0.847899794579
1175,0.895115852356
1176,0.990739703178
1177,0.378929644823
1178,1.52883851528
1179,0.413285642862
1180,1.40909385681
1181,0.962731361389
1182,1.04190921783
1183,0.169576451182
1184,0.78191357851
1185,1.25565958023
1186,0.870681881905
1187,0.872730910778
1188,1.00698399544
1189,0.902695834637
1190,0.501026034355
1191,1.13846981525
1192,1.81613922119
1193,1.22925150394
1194,1.0954220295
1195,1.27296960354
1196,1.18967366219
1197,1.327085495
1198,0.941816151142
1199,1.01517117023
1200,1.00089991093
1201,1.04006040096
1202,0.982634723186
1203,0.808032631874
